                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2181,                 3.8804,                 1.5806,                0.35751,                0.30483,                0.22042,                0.14066,                 1.0509,                 2.7935,                 1.5299,              0.0033298,              0.0033298,              0.0033298
                      2,                 1.2818,                 3.1319,                 1.6242,                0.43753,                0.40075,                0.38275,                0.22099,                 1.1214,                 4.1642,                 1.5871,              0.0066081,              0.0066081,              0.0066081
                      3,                 1.3786,                 2.9403,                 1.6777,                0.48327,                0.33214,                0.31222,                0.16025,                 1.3272,                 4.6291,                 1.8562,              0.0098315,              0.0098315,              0.0098315
                      4,                 1.4438,                 2.7727,                   1.72,                0.34094,                0.48256,                0.41434,                0.23343,                 1.2059,                  4.558,                 1.6716,              0.0097525,              0.0097525,              0.0097525
                      5,                  1.399,                 2.4532,                 1.6671,                0.59451,                0.45606,                  0.492,                0.28871,                  1.156,                 3.4023,                 1.6148,              0.0097525,              0.0097525,              0.0097525
                      6,                 1.3491,                 2.2296,                 1.6285,                0.59763,                0.55076,                0.57131,                0.33325,                 1.1313,                 2.7258,                 1.5794,                0.00967,                0.00967,                0.00967
                      7,                 1.3218,                 2.0763,                 1.6114,                0.66054,                0.53793,                0.58792,                0.35902,                 1.1198,                 2.4543,                 1.5685,              0.0095875,              0.0095875,              0.0095875
                      8,                 1.2836,                 1.9566,                 1.5795,                0.65231,                 0.5811,                 0.6206,                0.38859,                 1.0831,                 1.9994,                 1.5267,               0.009505,               0.009505,               0.009505
                      9,                 1.2758,                 1.8578,                 1.5673,                0.66342,                0.58838,                0.64015,                0.38977,                 1.0811,                 3.4172,                 1.5213,              0.0094225,              0.0094225,              0.0094225
                     10,                 1.2276,                 1.7543,                  1.531,                0.70264,                 0.6458,                0.70931,                0.46906,                 1.0071,                 1.6258,                   1.46,                0.00934,                0.00934,                0.00934
                     11,                 1.2068,                 1.6557,                  1.529,                0.65216,                0.65974,                0.67448,                0.43306,                 1.0131,                 1.6921,                 1.4426,              0.0092575,              0.0092575,              0.0092575
                     12,                 1.2086,                 1.6362,                 1.5256,                0.67485,                0.66581,                 0.7055,                0.47964,                0.97966,                 1.4868,                 1.4286,               0.009175,               0.009175,               0.009175
                     13,                 1.1878,                 1.5741,                 1.5043,                0.65851,                0.67031,                0.72735,                0.48654,                0.94652,                 1.3696,                 1.3849,              0.0090925,              0.0090925,              0.0090925
                     14,                 1.1774,                 1.5232,                 1.4915,                0.67436,                0.72545,                0.74217,                0.50931,                0.95124,                 1.4134,                  1.401,                0.00901,                0.00901,                0.00901
                     15,                 1.1647,                 1.4829,                 1.4839,                0.77594,                0.69177,                0.76771,                0.51555,                0.96257,                 1.3448,                  1.409,              0.0089275,              0.0089275,              0.0089275
                     16,                 1.1408,                  1.406,                 1.4609,                0.68711,                0.71629,                0.73578,                 0.4935,                 0.9471,                 1.3307,                 1.3872,               0.008845,               0.008845,               0.008845
