                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0559,                 1.1218,                 1.3848,                0.81646,                0.82867,                0.86514,                 0.6081,                0.90115,                0.89525,                 1.3208,              0.0072775,              0.0072775,              0.0072775
                     36,                   1.03,                 1.0914,                 1.3612,                0.81753,                0.82245,                0.87806,                0.62994,                0.86083,                 1.0531,                 1.2695,               0.007195,               0.007195,               0.007195
                     37,                 1.0454,                 1.0881,                 1.3672,                0.81935,                0.82038,                 0.8774,                 0.6212,                0.88022,                0.87131,                 1.3002,              0.0071125,              0.0071125,              0.0071125
                     38,                 1.0379,                  1.077,                 1.3619,                0.84092,                0.83348,                0.87651,                0.62691,                 0.8619,                0.84598,                  1.288,                0.00703,                0.00703,                0.00703
                     39,                   1.02,                 1.0586,                 1.3555,                0.83053,                0.83608,                0.87695,                0.62464,                0.86394,                0.78242,                 1.2829,              0.0069475,              0.0069475,              0.0069475
                     40,                 1.0173,                 1.0383,                 1.3493,                0.84472,                0.85013,                0.88729,                0.64505,                0.85047,                0.87222,                 1.2669,               0.006865,               0.006865,               0.006865
                     41,                 1.0142,                 1.0365,                 1.3524,                0.83137,                 0.8233,                0.86868,                0.62868,                0.85024,                0.89767,                  1.271,              0.0067825,              0.0067825,              0.0067825
                     42,                 1.0061,                 1.0327,                 1.3423,                0.83933,                0.83457,                0.88194,                0.64195,                 0.8423,                 1.0112,                 1.2568,                 0.0067,                 0.0067,                 0.0067
                     43,                 1.0033,                 1.0206,                 1.3382,                 0.8012,                0.84883,                0.88185,                0.64289,                0.83933,                0.81853,                 1.2604,              0.0066175,              0.0066175,              0.0066175
                     44,                0.99313,                0.99917,                 1.3364,                0.83068,                0.84628,                0.89918,                0.65378,                0.82725,                0.75532,                 1.2419,               0.006535,               0.006535,               0.006535
                     45,                0.99517,                  1.006,                 1.3343,                0.85766,                0.84025,                0.90556,                 0.6639,                0.82076,                  0.779,                 1.2442,              0.0064525,              0.0064525,              0.0064525
                     46,                0.98505,                0.98933,                 1.3297,                0.83839,                0.86972,                0.89911,                0.65861,                0.82043,                 0.7822,                 1.2376,                0.00637,                0.00637,                0.00637
                     47,                0.98253,                 0.9746,                 1.3262,                0.82376,                0.85633,                0.89396,                0.65378,                0.81955,                0.87255,                 1.2377,              0.0062875,              0.0062875,              0.0062875
                     48,                0.97702,                0.98105,                 1.3276,                0.84272,                0.83744,                0.90136,                0.65487,                0.83537,                0.78268,                 1.2517,               0.006205,               0.006205,               0.006205
                     49,                0.96922,                0.95806,                 1.3155,                0.86761,                0.83236,                0.90331,                0.66536,                0.80067,                0.78717,                 1.2225,              0.0061225,              0.0061225,              0.0061225
                     50,                0.96657,                0.95856,                 1.3192,                0.85952,                0.82853,                0.89729,                0.64978,                0.82619,                0.77911,                 1.2416,                0.00604,                0.00604,                0.00604
                     51,                0.96205,                0.93206,                  1.314,                0.83103,                0.86201,                0.88231,                0.63868,                0.82237,                 0.8484,                 1.2475,              0.0059575,              0.0059575,              0.0059575
                     52,                0.95932,                0.93102,                 1.3099,                0.83884,                 0.8569,                0.89666,                0.65883,                0.80465,                0.80482,                 1.2247,               0.005875,               0.005875,               0.005875
                     53,                0.96102,                0.92334,                 1.3119,                0.87746,                0.82597,                0.89656,                0.65983,                 0.8185,                0.79793,                  1.242,              0.0057925,              0.0057925,              0.0057925
                     54,                0.94857,                0.91582,                 1.2949,                 0.8534,                0.84929,                0.90336,                0.67089,                0.80125,                0.74848,                 1.2256,                0.00571,                0.00571,                0.00571
                     55,                0.93905,                0.90018,                 1.2962,                0.87342,                0.82872,                0.89076,                0.66142,                0.80389,                0.80748,                 1.2233,              0.0056275,              0.0056275,              0.0056275
                     56,                0.93629,                0.89368,                  1.294,                0.87047,                0.83589,                0.90634,                0.67775,                0.79513,                0.82026,                 1.2173,               0.005545,               0.005545,               0.005545
                     57,                0.94384,                0.90083,                 1.2996,                0.88026,                0.82652,                0.89805,                0.66606,                 0.8004,                0.81001,                 1.2188,              0.0054625,              0.0054625,              0.0054625
                     58,                0.93317,                0.88882,                 1.2928,                0.84901,                0.88915,                0.90954,                0.67762,                0.79986,                0.71503,                 1.2195,                0.00538,                0.00538,                0.00538
                     59,                0.92937,                0.87065,                 1.2819,                0.85391,                0.86403,                0.91647,                0.68898,                0.79689,                0.77745,                 1.2164,              0.0052975,              0.0052975,              0.0052975
                     60,                0.92309,                0.87426,                 1.2846,                0.86361,                0.85781,                0.91795,                0.68428,                0.78618,                 0.8224,                 1.2028,               0.005215,               0.005215,               0.005215
                     61,                0.92608,                0.85664,                 1.2834,                0.85721,                0.84496,                0.89934,                 0.6776,                 0.7825,                0.82287,                 1.2016,              0.0051325,              0.0051325,              0.0051325
                     62,                0.91282,                0.84958,                 1.2739,                0.86273,                0.85075,                0.90235,                0.67463,                0.78788,                 0.8459,                 1.2037,                0.00505,                0.00505,                0.00505
                     63,                0.91458,                0.84832,                 1.2725,                0.85429,                0.85337,                0.90631,                0.67578,                0.78898,                0.80727,                 1.2108,              0.0049675,              0.0049675,              0.0049675
                     64,                0.90459,                0.83001,                 1.2708,                0.89392,                0.82958,                0.90335,                0.67487,                0.78431,                0.75433,                 1.2029,               0.004885,               0.004885,               0.004885
                     65,                0.90189,                0.83715,                 1.2712,                0.88347,                0.84928,                0.90539,                0.68708,                 0.7807,                0.73455,                  1.199,              0.0048025,              0.0048025,              0.0048025
                     66,                0.89707,                0.83799,                 1.2672,                0.86939,                0.84356,                0.90144,                0.68181,                0.77538,                0.78804,                 1.1953,                0.00472,                0.00472,                0.00472
                     67,                0.89777,                0.81941,                 1.2631,                 0.8781,                 0.8483,                0.91204,                0.68626,                0.77083,                0.79203,                 1.1931,              0.0046375,              0.0046375,              0.0046375
                     68,                0.89145,                0.81933,                 1.2616,                0.87224,                0.84166,                0.91064,                0.68342,                0.76903,                0.77319,                 1.1927,               0.004555,               0.004555,               0.004555
                     69,                0.88622,                0.81149,                 1.2602,                0.87195,                0.83715,                 0.9008,                0.67254,                0.77185,                0.77374,                 1.1965,              0.0044725,              0.0044725,              0.0044725
                     70,                0.88127,                 0.8051,                  1.253,                0.86932,                0.85822,                0.90857,                0.68329,                0.76814,                  0.786,                 1.1886,                0.00439,                0.00439,                0.00439
                     71,                 0.8832,                 0.7977,                 1.2536,                0.87613,                0.86357,                0.91311,                0.68276,                0.76987,                0.79659,                 1.1886,              0.0043075,              0.0043075,              0.0043075
                     72,                0.87864,                0.79451,                 1.2502,                0.88995,                0.85835,                0.91124,                0.68979,                0.76753,                0.73653,                 1.1845,               0.004225,               0.004225,               0.004225
                     73,                0.86839,                0.78639,                 1.2466,                0.88064,                0.84892,                0.91103,                0.69222,                0.76328,                0.70236,                 1.1835,              0.0041425,              0.0041425,              0.0041425
                     74,                0.86398,                0.77489,                 1.2372,                0.88969,                0.84717,                0.91416,                0.69596,                0.76185,                0.70306,                 1.1785,                0.00406,                0.00406,                0.00406
                     75,                0.86485,                0.76797,                 1.2365,                0.87914,                0.84992,                0.91215,                  0.689,                0.76713,                0.69734,                 1.1846,              0.0039775,              0.0039775,              0.0039775
