epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5341.25,0.88154,0.76298,1.25863,0.87723,0.88338,0.92261,0.71812,0.7206,0.49589,1.15354,0.007228,0.007228,0.007228
44,5464.86,0.86562,0.74657,1.24908,0.87217,0.87504,0.92491,0.72656,0.69958,0.58269,1.14159,0.007162,0.007162,0.007162
45,5590.32,0.86164,0.74452,1.24346,0.87736,0.88461,0.92086,0.7265,0.68833,0.53965,1.13307,0.007096,0.007096,0.007096
46,5713.87,0.86305,0.73893,1.24089,0.8931,0.86091,0.92236,0.72467,0.70457,0.70066,1.14031,0.00703,0.00703,0.00703
47,5838.49,0.8568,0.73173,1.23624,0.89803,0.8888,0.93064,0.73226,0.69452,0.6081,1.13722,0.006964,0.006964,0.006964
48,5962.06,0.857,0.72639,1.23841,0.89661,0.86855,0.92999,0.72352,0.7034,0.55834,1.14692,0.006898,0.006898,0.006898
49,6086.39,0.85453,0.71185,1.23477,0.88891,0.88504,0.92021,0.71917,0.69371,0.48991,1.13519,0.006832,0.006832,0.006832
50,6210.68,0.84496,0.70751,1.22868,0.89939,0.87806,0.92475,0.72454,0.69076,0.49805,1.13251,0.006766,0.006766,0.006766
51,6336.24,0.83951,0.69748,1.22492,0.87249,0.88995,0.92041,0.72235,0.68751,0.48187,1.13199,0.0067,0.0067,0.0067
52,6460.62,0.83663,0.69887,1.22291,0.90828,0.86954,0.93087,0.73248,0.68686,0.51789,1.14138,0.006634,0.006634,0.006634
53,6585.97,0.8259,0.67773,1.21385,0.89347,0.86569,0.92839,0.73372,0.67509,0.45942,1.12205,0.006568,0.006568,0.006568
54,6709.24,0.82183,0.68089,1.21625,0.8901,0.89077,0.93484,0.74311,0.68163,0.46705,1.13678,0.006502,0.006502,0.006502
55,6835.16,0.81519,0.67478,1.21022,0.92063,0.87423,0.94016,0.74346,0.67883,0.44376,1.13376,0.006436,0.006436,0.006436
56,6959.24,0.81416,0.66963,1.21057,0.89831,0.87451,0.92655,0.727,0.67682,0.49096,1.12011,0.00637,0.00637,0.00637
57,7085.61,0.80228,0.64969,1.19959,0.9105,0.87811,0.93306,0.74137,0.67375,0.49682,1.11801,0.006304,0.006304,0.006304
58,7210.33,0.80309,0.65499,1.19896,0.90899,0.88075,0.93816,0.73966,0.67836,0.47565,1.12426,0.006238,0.006238,0.006238
59,7336.59,0.79888,0.64541,1.19566,0.88998,0.88067,0.93184,0.73652,0.67325,0.52786,1.11222,0.006172,0.006172,0.006172
60,7460.53,0.80075,0.65325,1.20157,0.89371,0.89006,0.93331,0.7405,0.67196,0.48035,1.11666,0.006106,0.006106,0.006106
